Timestamp,Name,Giants at Commanders? ,Browns at Jaguars? ,Buccaneers at Lions? ,Rams at Cardinals? ,Bengals at Chiefs? ,Steelers at Broncos? 
9/13/2024 23:43,seb #1 mod,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/14/2024 10:18,Ven,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Arizona Cardinals,Kansas City Chiefs,Pittsburgh Steelers
9/14/2024 10:19,sanchez,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Denver Broncos
9/14/2024 10:20,Smalik456,New York Giants,Jacksonville Jaguars,Detroit Lions,Arizona Cardinals,Kansas City Chiefs,Pittsburgh Steelers
9/14/2024 10:20,TotallyNotAlex,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Denver Broncos
9/14/2024 10:20,Stint,New York Giants,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/14/2024 10:21,dan!,Washington Commanders,Jacksonville Jaguars,Tampa Bay Buccaneers,Arizona Cardinals,Kansas City Chiefs,Pittsburgh Steelers
9/14/2024 10:34,Thebottomline (zanal),Washington Commanders,Jacksonville Jaguars,Tampa Bay Buccaneers,Los Angeles Rams,Cincinnati Bengals,Pittsburgh Steelers
9/14/2024 10:56,Recording in Process… (pretty obvious who),New York Giants,Jacksonville Jaguars,Detroit Lions,Arizona Cardinals,Kansas City Chiefs,Pittsburgh Steelers
9/14/2024 11:38,joey,Washington Commanders,Jacksonville Jaguars,Tampa Bay Buccaneers,Los Angeles Rams,Cincinnati Bengals,Pittsburgh Steelers
9/14/2024 11:50,Aura.02,Washington Commanders,Cleveland Browns,Tampa Bay Buccaneers,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/14/2024 11:53,Kyle,Washington Commanders,Jacksonville Jaguars,Tampa Bay Buccaneers,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/14/2024 12:08,Purpledogs12,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/14/2024 12:53,TheAirDownHere,Washington Commanders,Jacksonville Jaguars,Tampa Bay Buccaneers,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/14/2024 13:12,Ankle Lover,Washington Commanders,Cleveland Browns,Detroit Lions,Los Angeles Rams,Cincinnati Bengals,Denver Broncos
9/14/2024 13:29,nickmolyvia,New York Giants,Cleveland Browns,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/14/2024 14:35,bdog,Washington Commanders,Cleveland Browns,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/14/2024 15:09,sdesai1287,Washington Commanders,Cleveland Browns,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/14/2024 16:59,anandesai,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/14/2024 17:01,spidaburner,Washington Commanders,Jacksonville Jaguars,Tampa Bay Buccaneers,Arizona Cardinals,Kansas City Chiefs,Denver Broncos
9/14/2024 18:55,Remmy,New York Giants,Jacksonville Jaguars,Detroit Lions,Arizona Cardinals,Kansas City Chiefs,Pittsburgh Steelers
9/14/2024 23:22,HEEM_OCHO,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/15/2024 0:41,fulcrum,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/15/2024 2:06,Bearsfury,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/15/2024 4:18,Freedent8,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Denver Broncos
9/15/2024 8:56,Chites34,Washington Commanders,Jacksonville Jaguars,Tampa Bay Buccaneers,Arizona Cardinals,Kansas City Chiefs,Pittsburgh Steelers
9/15/2024 8:57,ADura,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/15/2024 9:04,Justin,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Cincinnati Bengals,Denver Broncos
9/15/2024 9:04,Phrog,Washington Commanders,Cleveland Browns,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/15/2024 9:57,Brophy,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/15/2024 11:04,dayzofreckoning,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/15/2024 11:12,Marafty ,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Arizona Cardinals,Cincinnati Bengals,Denver Broncos
9/15/2024 11:14,.,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
9/15/2024 11:16,clem,Washington Commanders,Jacksonville Jaguars,Detroit Lions,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers
