Timestamp,Name,Eagles at Saints? ,Texans at Vikings? ,Bears at Colts? ,Chargers at Steelers? ,Lions at Cardinals?,Ravens at Cowboys?
9/21/2024 12:26:45,seb #1 mod,New Orleans Saints,Houston Texans,Chicago Bears,Pittsburgh Steelers,Detroit Lions,Baltimore Ravens
9/21/2024 12:31:18,Freedent8,Philadelphia Eagles,Houston Texans,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Baltimore Ravens
9/21/2024 12:31:51,Nick1409,New Orleans Saints,Houston Texans,Chicago Bears,Los Angeles Chargers,Detroit Lions,Baltimore Ravens
9/21/2024 12:32:21,sanchez,New Orleans Saints,Houston Texans,Chicago Bears,Los Angeles Chargers,Detroit Lions,Baltimore Ravens
9/21/2024 12:32:55,Phrog,New Orleans Saints,Houston Texans,Chicago Bears,Pittsburgh Steelers,Arizona Cardinals,Dallas Cowboys
9/21/2024 12:34:12,Ankle Lover,New Orleans Saints,Houston Texans,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Baltimore Ravens
9/21/2024 12:35:07,nickmolyvia,Philadelphia Eagles,Houston Texans,Indianapolis Colts,Pittsburgh Steelers,Detroit Lions,Baltimore Ravens
9/21/2024 12:38:00,TheAirDownHere,Philadelphia Eagles,Houston Texans,Chicago Bears,Pittsburgh Steelers,Detroit Lions,Baltimore Ravens
9/21/2024 12:40:32,joey,Philadelphia Eagles,Houston Texans,Indianapolis Colts,Pittsburgh Steelers,Detroit Lions,Baltimore Ravens
9/21/2024 12:44:18,.,Philadelphia Eagles,Houston Texans,Chicago Bears,Pittsburgh Steelers,Detroit Lions,Baltimore Ravens
9/21/2024 12:45:01,Smalik456,New Orleans Saints,Minnesota Vikings,Indianapolis Colts,Los Angeles Chargers,Arizona Cardinals,Dallas Cowboys
9/21/2024 12:50:48,Brophy,New Orleans Saints,Houston Texans,Chicago Bears,Los Angeles Chargers,Detroit Lions,Baltimore Ravens
9/21/2024 14:00:26,bdog,Philadelphia Eagles,Houston Texans,Indianapolis Colts,Pittsburgh Steelers,Detroit Lions,Baltimore Ravens
9/21/2024 14:02:49,ADura,Philadelphia Eagles,Houston Texans,Chicago Bears,Pittsburgh Steelers,Detroit Lions,Baltimore Ravens
9/21/2024 14:23:32,TotallyNotAlex,Philadelphia Eagles,Houston Texans,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Baltimore Ravens
9/21/2024 15:10:43,sdesai1287,New Orleans Saints,Houston Texans,Chicago Bears,Pittsburgh Steelers,Arizona Cardinals,Baltimore Ravens
9/21/2024 15:31:08,anandesai,Philadelphia Eagles,Houston Texans,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Baltimore Ravens
9/21/2024 17:41:45,Purpledogs12 ,New Orleans Saints,Houston Texans,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Baltimore Ravens
9/21/2024 17:58:22,spidaburner ,New Orleans Saints,Houston Texans,Chicago Bears,Pittsburgh Steelers,Arizona Cardinals,Baltimore Ravens
9/21/2024 19:56:27,Thebottomline,Philadelphia Eagles,Houston Texans,Indianapolis Colts,Pittsburgh Steelers,Detroit Lions,Dallas Cowboys
9/21/2024 20:45:31,marafty,New Orleans Saints,Houston Texans,Indianapolis Colts,Pittsburgh Steelers,Detroit Lions,Dallas Cowboys
9/21/2024 21:25:45,CharismaticCharlieWade ,New Orleans Saints,Minnesota Vikings,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Dallas Cowboys
9/21/2024 21:30:31,clem,New Orleans Saints,Houston Texans,Chicago Bears,Pittsburgh Steelers,Detroit Lions,Dallas Cowboys
9/21/2024 21:54:22,Ven,Philadelphia Eagles,Houston Texans,Indianapolis Colts,Pittsburgh Steelers,Detroit Lions,Dallas Cowboys
9/22/2024 0:11:15,Kyle,New Orleans Saints,Houston Texans,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Baltimore Ravens
9/22/2024 5:11:03,thio,Philadelphia Eagles,Houston Texans,Indianapolis Colts,Pittsburgh Steelers,Arizona Cardinals,Baltimore Ravens
9/22/2024 8:27:48,Stint,Philadelphia Eagles,Houston Texans,Indianapolis Colts,Pittsburgh Steelers,Detroit Lions,Dallas Cowboys
9/22/2024 9:48:08,Remmy,Philadelphia Eagles,Houston Texans,Chicago Bears,Los Angeles Chargers,Arizona Cardinals,Dallas Cowboys
9/22/2024 9:54:48,Chites34,New Orleans Saints,Houston Texans,Chicago Bears,Pittsburgh Steelers,Detroit Lions,Baltimore Ravens
9/22/2024 11:02:18,Aura.02,Philadelphia Eagles,Houston Texans,Indianapolis Colts,Pittsburgh Steelers,Detroit Lions,Baltimore Ravens
9/22/2024 11:14:49,Bearsfury,Philadelphia Eagles,,Chicago Bears,Pittsburgh Steelers,Detroit Lions,Baltimore Ravens
9/22/2024 11:14:55,MarcosForMod2024,Philadelphia Eagles,Houston Texans,Chicago Bears,Pittsburgh Steelers,Detroit Lions,Dallas Cowboys
9/22/2024 11:24:41,fulcrum,Philadelphia Eagles,Houston Texans,Indianapolis Colts,Los Angeles Chargers,Arizona Cardinals,Dallas Cowboys
9/22/2024 11:27:02,Record ,New Orleans Saints,Houston Texans,Chicago Bears,Pittsburgh Steelers,Arizona Cardinals,Dallas Cowboys
9/22/2024 11:40:32,Justin,Philadelphia Eagles,Houston Texans,Chicago Bears,Pittsburgh Steelers,Detroit Lions,Baltimore Ravens
