Timestamp,Name,Jaguars at Bears?,Colts at Titans?,Chargers at Broncos?,Lions at Cowboys?,Cardinals at Packers?,Bills at Jets?
10/11/2024 14:31:38,seb #1 mod,Chicago Bears,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Green Bay Packers,Buffalo Bills
10/12/2024 12:10:45,Justin,Chicago Bears,Indianapolis Colts,Denver Broncos,Detroit Lions,Arizona Cardinals,New York Jets
10/12/2024 12:11:16,Bearsfury,Jacksonville Jaguars,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Arizona Cardinals,Buffalo Bills
10/12/2024 12:11:40,Phrog,Chicago Bears,Indianapolis Colts,Denver Broncos,Detroit Lions,Green Bay Packers,New York Jets
10/12/2024 12:12:16,Aura.02,Chicago Bears,Indianapolis Colts,Los Angeles Chargers,Dallas Cowboys,Green Bay Packers,Buffalo Bills
10/12/2024 12:12:22,Is this thing recording?,Jacksonville Jaguars,Indianapolis Colts,Denver Broncos,Detroit Lions,Green Bay Packers,Buffalo Bills
10/12/2024 12:12:30,Remmy ,Chicago Bears,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Green Bay Packers,New York Jets
10/12/2024 12:12:57,Brophy ,Chicago Bears,Tennessee Titans,Los Angeles Chargers,Detroit Lions,Green Bay Packers,New York Jets
10/12/2024 12:13:49,Nick1409,Jacksonville Jaguars,Tennessee Titans,Denver Broncos,Detroit Lions,Green Bay Packers,Buffalo Bills
10/12/2024 12:14:01,Smalik456,Chicago Bears,Tennessee Titans,Los Angeles Chargers,Detroit Lions,Green Bay Packers,Buffalo Bills
10/12/2024 12:16:16,nickmolyvia,Chicago Bears,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Green Bay Packers,Buffalo Bills
10/12/2024 12:17:03,Freedent8,Chicago Bears,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Green Bay Packers,Buffalo Bills
10/12/2024 12:38:53,THEBOTTOMLIne ,Chicago Bears,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Green Bay Packers,Buffalo Bills
10/12/2024 12:48:25,Stint,Chicago Bears,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Arizona Cardinals,Buffalo Bills
10/12/2024 12:49:49,Ankle Lover,Chicago Bears,Indianapolis Colts,Los Angeles Chargers,Dallas Cowboys,Green Bay Packers,Buffalo Bills
10/12/2024 13:08:49,spidaburner ,Chicago Bears,Tennessee Titans,Denver Broncos,Detroit Lions,Green Bay Packers,New York Jets
10/12/2024 13:35:09,joey,Jacksonville Jaguars,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Green Bay Packers,Buffalo Bills
10/12/2024 14:10:16,Sanchez,Chicago Bears,Indianapolis Colts,Denver Broncos,Detroit Lions,Green Bay Packers,Buffalo Bills
10/12/2024 14:41:31,TotallyNotAlex,Chicago Bears,Tennessee Titans,Denver Broncos,Detroit Lions,Green Bay Packers,New York Jets
10/12/2024 14:47:04,ADura,Chicago Bears,Indianapolis Colts,Denver Broncos,Detroit Lions,Arizona Cardinals,New York Jets
10/12/2024 18:10:36,Purpledogs12 ,Chicago Bears,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Green Bay Packers,Buffalo Bills
10/12/2024 19:14:12,anandesai,Jacksonville Jaguars,Tennessee Titans,Los Angeles Chargers,Detroit Lions,Green Bay Packers,Buffalo Bills
10/13/2024 0:00:33,fulcrum,Chicago Bears,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Arizona Cardinals,Buffalo Bills
10/13/2024 6:47:16,Bdog,Chicago Bears,Indianapolis Colts,Denver Broncos,Detroit Lions,Green Bay Packers,Buffalo Bills
10/13/2024 6:53:01,Chites,Chicago Bears,Tennessee Titans,Los Angeles Chargers,Detroit Lions,Green Bay Packers,Buffalo Bills
10/13/2024 7:36:00,Ven,Chicago Bears,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Green Bay Packers,New York Jets
10/13/2024 8:23:45,TheAirDownHere,Chicago Bears,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Arizona Cardinals,Buffalo Bills
10/13/2024 9:26:02,HEEM_OCHO,,Tennessee Titans,Los Angeles Chargers,Detroit Lions,Arizona Cardinals,Buffalo Bills
10/13/2024 10:20:35,AJ,Chicago Bears,Indianapolis Colts,Los Angeles Chargers,Detroit Lions,Arizona Cardinals,New York Jets
10/13/2024 11:24:14,CharismaticCharlieWade ,,Indianapolis Colts,Los Angeles Chargers,Dallas Cowboys,Arizona Cardinals,Buffalo Bills
